2.3 , -0.666276,-0.745703,-0.745705
2.4 , -0.737394,-0.67546,-0.675463
2.5 , -0.801144,-0.598477,-0.598472
2.6 , -0.856889,-0.515499,-0.515501
2.7 , -0.904072,-0.42738,-0.42738
2.8 , -0.942222,-0.334988,-0.334988
2.9 , -0.970958,-0.239242,-0.239249
3 , -0.989992,-0.14112,-0.14112
3.1 , -0.999135,-0.0415779,-0.0415807
3.2 , -0.998295,0.0583755,0.0583741
3.3 , -0.98748,0.15774,0.157746
3.4 , -0.966798,0.255551,0.255541
3.5 , -0.936457,0.350786,0.350783
3.6 , -0.896758,0.442524,0.44252
3.7 , -0.8481,0.529832,0.529836
3.8 , -0.790968,0.611866,0.611858
3.9 , -0.725932,0.687772,0.687766
4 , -0.653644,0.756806,0.756802
4.1 , -0.574824,0.818279,0.818277
4.2 , -0.490261,0.871575,0.871576
4.3 , -0.400799,0.916167,0.916166
4.4 , -0.307333,0.951605,0.951602
4.5 , -0.210796,0.977529,0.97753
4.6 , -0.112153,0.993691,0.993691
4.7 , -0.0123887,0.999923,0.999923
4.8 , 0.087499,0.996164,0.996165
4.9 , 0.186512,0.982453,0.982453
5 , 0.283662,0.958927,0.958924
5.1 , 0.377978,0.925815,0.925815
5.2 , 0.468517,0.883454,0.883455
5.3 , 0.554374,0.832268,0.832267
5.4 , 0.634693,0.77276,0.772764
5.5 , 0.70867,0.705547,0.70554
5.6 , 0.775566,0.631262,0.631267
5.7 , 0.834713,0.550682,0.550686
5.8 , 0.88552,0.464606,0.464602
5.9 , 0.927478,0.373879,0.373877
6 , 0.96017,0.279421,0.279415
6.1 , 0.983268,0.182165,0.182163
6.2 , 0.996542,0.0830891,0.0830894
6.3 , 0.999859,-0.0168088,-0.0168139
6.4 , 0.993185,-0.116551,-0.116549
6.5 , 0.976588,-0.215117,-0.21512
6.6 , 0.950233,-0.31154,-0.311541
6.7 , 0.914383,-0.404854,-0.40485
6.8 , 0.869397,-0.494116,-0.494113
6.9 , 0.815725,-0.578437,-0.57844
7 , 0.753902,-0.656986,-0.656987
7.1 , 0.684547,-0.728972,-0.728969
7.2 , 0.608351,-0.793665,-0.793668
7.3 , 0.526078,-0.850431,-0.850437
7.4 , 0.438547,-0.898709,-0.898708
7.5 , 0.346635,-0.938,-0.938
7.6 , 0.25126,-0.967915,-0.96792
7.7 , 0.153374,-0.988168,-0.988168
7.8 , 0.0539554,-0.998544,-0.998543
7.9 , -0.0460021,-0.998941,-0.998941
8 , -0.1455,-0.98927,-0.989358
8.1 , -0.243544,-0.969805,-0.96989
8.2 , -0.339155,-0.940648,-0.940731
8.3 , -0.431377,-0.902095,-0.902172
8.4 , -0.519289,-0.854528,-0.854599
8.5 , -0.602012,-0.798417,-0.798487
8.6 , -0.67872,-0.734335,-0.734397
8.7 , -0.748647,-0.662914,-0.662969
8.8 , -0.811093,-0.584865,-0.584917
8.9 , -0.865435,-0.500977,-0.501021
9 , -0.91113,-0.412081,-0.412118
9.1 , -0.947722,-0.319067,-0.319098
9.2 , -0.974844,-0.222866,-0.22289
9.3 , -0.992225,-0.124445,-0.124454
9.4 , -0.999693,-0.0247691,-0.0247754
9.5 , -0.997172,0.0751399,0.0751511
9.6 , -0.984688,0.174316,0.174327
9.7 , -0.962365,0.271738,0.271761
9.8 , -0.930426,0.366451,0.366479
9.9 , -0.889191,0.45749,0.457536
10 , -0.839072,0.543976,0.544021
